Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,Includes Hillsborough County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Manchester,110353,742,5,69,205,463,3010,456,2408,146
NA,City of Nashua,88252,151,0,48,26,77,1218,122,1039,57
NA,Total area actually reporting,0.987,1089,5,160,248,676,6162,846,5031,285
NA,Estimated total,1,1096,5,162,249,680,6228,855,5085,288
NA,"Rate per 100,000 inhabitants",NA,268.5,1.2,39.7,61,166.6,1525.6,209.4,1245.6,70.5
"Manhattan, KS M.S.A.",NA,99113,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Pottawatomie and Riley Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,257,1,49,22,185,1607,250,1268,89
NA,"Rate per 100,000 inhabitants",NA,259.3,1,49.4,22.2,186.7,1621.4,252.2,1279.3,89.8
"Mankato-North Mankato, MN M.S.A.",NA,99481,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Blue Earth and Nicollet Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Mankato,41300,112,1,27,23,61,1329,223,1057,49
NA,City of North Mankato,13553,7,0,0,0,7,149,30,116,3
NA,Total area actually reporting,1,153,2,37,26,88,1878,368,1432,78
NA,"Rate per 100,000 inhabitants",NA,153.8,2,37.2,26.1,88.5,1887.8,369.9,1439.5,78.4
"Mansfield, OH M.S.A.",NA,121064,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Richland County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Mansfield,46656,209,3,58,63,85,2605,679,1805,121
NA,Total area actually reporting,0.993,290,6,90,73,121,4437,1205,3084,148
NA,Estimated total,1,291,6,90,73,122,4457,1208,3100,149
NA,"Rate per 100,000 inhabitants",NA,240.4,5,74.3,60.3,100.8,3681.5,997.8,2560.6,123.1
"McAllen-Edinburg-Mission, TX M.S.A.2",NA,853003,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Hidalgo County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of McAllen,142227,215,3,40,65,107,4470,331,4022,117
NA,City of Edinburg,86535,354,3,61,51,239,4183,545,3481,157
NA,City of Mission,84380,120,0,36,40,44,2179,358,1707,114
NA,Total area actually reporting,0.993,2505,22,417,444,1622,24130,3939,19095,1096
NA,Estimated total,1,2522,22,420,448,1632,24276,3962,19207,1107
NA,"Rate per 100,000 inhabitants",NA,295.7,2.6,49.2,52.5,191.3,2845.9,464.5,2251.7,129.8
"Medford, OR M.S.A.",NA,215751,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Jackson County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Medford,80794,407,1,31,115,260,5688,486,4793,409
NA,Total area actually reporting,1,772,5,73,150,544,9339,1067,7602,670
NA,"Rate per 100,000 inhabitants",NA,357.8,2.3,33.8,69.5,252.1,4328.6,494.6,3523.5,310.5
"Memphis, TN-MS-AR M.S.A.",NA,1346931,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Crittenden County, AR; Benton, DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Memphis, TN",656434,11947,196,534,3188,8029,36988,9150,24604,3234
NA,Total area actually reporting,0.973,14524,248,730,3618,9928,51468,12430,34899,4139
NA,Estimated total,1,14575,249,736,3628,9962,52102,12585,35333,4184
NA,"Rate per 100,000 inhabitants",NA,1082.1,18.5,54.6,269.4,739.6,3868.2,934.3,2623.2,310.6
"Merced, CA M.S.A.",NA,268999,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Merced County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Merced,83106,489,1,35,134,319,2774,558,1617,599
NA,Total area actually reporting,1,1488,6,79,238,1165,7658,1830,4395,1433
NA,"Rate per 100,000 inhabitants",NA,553.2,2.2,29.4,88.5,433.1,2846.9,680.3,1633.8,532.7
"Miami-Fort Lauderdale-West Palm Beach, FL M.S.A.",NA,6113688,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Delray Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Miami,449469,3989,55,90,1443,2401,18974,2643,14335,1996
NA,City of Fort Lauderdale,181218,1144,18,71,483,572,10630,1856,7856,918
NA,City of West Palm Beach,108074,954,10,71,333,540,5599,946,4100,553
NA,City of Pompano Beach,109362,931,7,77,344,503,5205,903,3738,564
NA,City of Miami Beach,93165,940,7,57,345,531,8419,603,7251,565
NA,City of Boca Raton,94931,239,1,22,105,111,2495,507,1831,157
NA,City of Deerfield Beach,80713,277,2,33,93,149,2193,376,1597,220
NA,City of Delray Beach,67400,387,5,31,125,226,2842,385,2218,239
NA,City of Jupiter,64273,147,0,15,40,92,1261,163,1038,60
NA,Total area actually reporting,1,29720,355,1866,9299,18200,196533,28357,150604,17572
NA,"Rate per 100,000 inhabitants",NA,486.1,5.8,30.5,152.1,297.7,3214.6,463.8,2463.4,287.4
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",NA,1930253,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Broward County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,7550,81,559,2715,4195,58871,8813,44436,5622
NA,"Rate per 100,000 inhabitants",NA,391.1,4.2,29,140.7,217.3,3049.9,456.6,2302.1,291.3
"Miami-Miami Beach-Kendall, FL M.D.",NA,2737194,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Miami-Dade County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,15635,198,796,4831,9810,95584,11774,75242,8568
NA,"Rate per 100,000 inhabitants",NA,571.2,7.2,29.1,176.5,358.4,3492,430.1,2748.9,313
"West Palm Beach-Boca Raton-Delray Beach, FL M.D.",NA,1446241,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Palm Beach County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,6535,76,511,1753,4195,42078,7770,30926,3382
NA,"Rate per 100,000 inhabitants",NA,451.9,5.3,35.3,121.2,290.1,2909.5,537.3,2138.4,233.8
"Michigan City-La Porte, IN M.S.A.",NA,110541,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes La Porte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Michigan City,31459,186,2,19,50,115,1444,213,1131,100
NA,City of La Porte,21891,93,0,9,20,64,765,145,576,44
NA,Total area actually reporting,0.958,320,2,34,76,208,2814,608,2021,185
NA,Estimated total,1,333,2,35,79,217,2943,623,2126,194
NA,"Rate per 100,000 inhabitants",NA,301.2,1.8,31.7,71.5,196.3,2662.4,563.6,1923.3,175.5
"Midland, MI M.S.A.",NA,83588,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Midland County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Midland,42263,48,0,17,5,26,511,77,424,10
NA,Total area actually reporting,1,107,1,44,6,56,887,203,654,30
NA,"Rate per 100,000 inhabitants",NA,128,1.2,52.6,7.2,67,1061.2,242.9,782.4,35.9
"Midland, TX M.S.A.",NA,171699,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Martin and Midland Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Midland,137780,412,3,24,93,292,3352,604,2563,185
NA,Total area actually reporting,1,511,3,29,102,377,4285,777,3222,286
NA,"Rate per 100,000 inhabitants",NA,297.6,1.7,16.9,59.4,219.6,2495.6,452.5,1876.5,166.6
"Milwaukee-Waukesha-West Allis, WI M.S.A.2",NA,1577025,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Milwaukee,600193,9201,141,477,3283,5300,24392,5862,12356,6174
NA,City of Waukesha,72223,92,0,31,14,47,1117,182,891,44
NA,City of West Allis2,60558,200,6,20,76,98,2262,451,1609,202
NA,Total area actually reporting,1,10345,156,638,3661,5890,42858,8074,27545,7239
NA,"Rate per 100,000 inhabitants",NA,656,9.9,40.5,232.1,373.5,2717.6,512,1746.6,459
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",NA,3555186,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Anoka, Carver,2 Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Sibley, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Minneapolis, MN",416751,4622,35,455,1844,2288,17594,3424,12183,1987
NA,"City of St. Paul, MN",303920,1970,19,184,700,1067,9811,2278,5659,1874
NA,"City of Bloomington, MN",87134,177,0,49,62,66,2810,181,2514,115
NA,"City of Plymouth, MN",76996,48,1,12,14,21,1009,215,759,35
NA,"City of Eagan, MN",66698,40,0,11,13,16,1144,106,995,43
NA,"City of Eden Prairie, MN",64037,36,2,15,8,11,729,75,627,27
NA,Total area actually reporting,0.998,10218,77,1532,3372,5237,82192,12585,62870,6737
NA,Estimated total,1,10227,77,1533,3374,5243,82325,12600,62982,6743
NA,"Rate per 100,000 inhabitants",NA,287.7,2.2,43.1,94.9,147.5,2315.6,354.4,1771.6,189.7
"Missoula, MT M.S.A.",NA,115226,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Missoula County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Missoula,71860,377,0,65,60,252,3761,401,3156,204
NA,Total area actually reporting,1,476,0,82,64,330,4087,504,3356,227
NA,"Rate per 100,000 inhabitants",NA,413.1,0,71.2,55.5,286.4,3546.9,437.4,2912.5,197
"Mobile, AL M.S.A.5",NA,414817,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Mobile County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Mobile5,249921,1709,44,89,438,1138,11769,2628,8261,880
NA,Total area actually reporting,1,2426,61,137,604,1624,16688,4005,11299,1384
NA,"Rate per 100,000 inhabitants",NA,584.8,14.7,33,145.6,391.5,4023,965.5,2723.9,333.6
"Modesto, CA M.S.A.",NA,539425,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Stanislaus County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Modesto,212880,2104,13,103,481,1507,9324,1421,6350,1553
NA,Total area actually reporting,1,3366,34,199,835,2298,17918,3303,11119,3496
NA,"Rate per 100,000 inhabitants",NA,624,6.3,36.9,154.8,426,3321.7,612.3,2061.3,648.1
"Monroe, LA M.S.A.",NA,179125,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Ouachita and Union Parishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Monroe,49677,1493,11,52,248,1182,4646,1025,3397,224
NA,Total area actually reporting,0.956,2092,19,64,319,1690,8592,2179,5965,448
NA,Estimated total,1,2126,20,66,324,1716,8884,2229,6193,462
NA,"Rate per 100,000 inhabitants",NA,1186.9,11.2,36.8,180.9,958,4959.7,1244.4,3457.4,257.9
"Montgomery, AL M.S.A.",NA,372661,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Montgomery,199565,1215,30,62,448,675,8989,2293,5824,872
NA,Total area actually reporting,0.993,1745,44,136,528,1037,13166,3219,8761,1186
NA,Estimated total,1,1758,44,137,530,1047,13248,3235,8821,1192
NA,"Rate per 100,000 inhabitants",NA,471.7,11.8,36.8,142.2,281,3555,868.1,2367,319.9
"Morgantown, WV M.S.A.",NA,138954,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Monongalia and Preston Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Morgantown,31109,89,2,12,19,56,674,129,517,28
NA,Total area actually reporting,0.884,318,3,59,27,229,1684,410,1186,88
NA,Estimated total,1,366,3,65,34,264,2245,502,1623,120
NA,"Rate per 100,000 inhabitants",NA,263.4,2.2,46.8,24.5,190,1615.6,361.3,1168,86.4
"Mount Vernon-Anacortes, WA M.S.A.",NA,123317,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Skagit County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Mount Vernon,34521,88,0,16,28,44,1324,197,1014,113
NA,City of Anacortes,16532,15,0,1,4,10,463,65,369,29
NA,Total area actually reporting,1,230,6,36,54,134,4424,852,3263,309
NA,"Rate per 100,000 inhabitants",NA,186.5,4.9,29.2,43.8,108.7,3587.5,690.9,2646,250.6
"Muncie, IN M.S.A.",NA,116443,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Delaware County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Muncie,70065,252,6,29,95,122,2755,475,2083,197
NA,Total area actually reporting,1,304,9,37,99,159,3429,650,2533,246
NA,"Rate per 100,000 inhabitants",NA,261.1,7.7,31.8,85,136.5,2944.8,558.2,2175.3,211.3
"Muskegon, MI M.S.A.",NA,172890,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Muskegon County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Muskegon,38442,273,5,39,62,167,1468,285,1094,89
NA,Total area actually reporting,1,754,9,144,142,459,5211,813,4148,250
NA,"Rate per 100,000 inhabitants",NA,436.1,5.2,83.3,82.1,265.5,3014.1,470.2,2399.2,144.6
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.",NA,444122,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Brunswick County, NC and Horry County, SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Myrtle Beach, SC",31864,538,5,46,139,348,4395,469,3555,371
NA,"City of Conway, SC",21874,174,3,20,24,127,1016,138,805,73
NA,"City of North Myrtle Beach, SC",15945,121,2,21,28,70,1227,194,918,115
NA,Total area actually reporting,0.974,2015,32,313,336,1334,15950,2824,11805,1321
NA,Estimated total,1,2046,32,315,345,1354,16308,2892,12082,1334
NA,"Rate per 100,000 inhabitants",NA,460.7,7.2,70.9,77.7,304.9,3672,651.2,2720.4,300.4
"Napa, CA M.S.A.",NA,142635,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Napa County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Napa,81115,296,1,38,47,210,1579,437,1013,129
NA,Total area actually reporting,1,598,1,62,72,463,2524,655,1647,222
NA,"Rate per 100,000 inhabitants",NA,419.3,0.7,43.5,50.5,324.6,1769.6,459.2,1154.7,155.6
"Naples-Immokalee-Marco Island, FL M.S.A.",NA,365390,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Collier County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Naples,21917,19,3,4,3,9,408,52,339,17
NA,City of Marco Island,17947,2,0,1,0,1,94,13,76,5
NA,Total area actually reporting,1,962,10,70,169,713,4496,807,3443,246
NA,"Rate per 100,000 inhabitants",NA,263.3,2.7,19.2,46.3,195.1,1230.5,220.9,942.3,67.3
"Nashville - Davidson - Murfreesboro - Franklin, TN M.S.A.",NA,1863012,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Nashville Metropolitan,668685,7371,81,464,1985,4841,24719,4545,18446,1728
NA,City of Murfreesboro,129730,790,6,55,152,577,3867,627,3042,198
NA,City of Franklin,74771,154,0,21,19,114,1085,84,968,33
NA,Total area actually reporting,1,11580,115,839,2435,8191,46171,8320,34747,3104
NA,"Rate per 100,000 inhabitants",NA,621.6,6.2,45,130.7,439.7,2478.3,446.6,1865.1,166.6
"New Bern, NC M.S.A.",NA,126088,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Craven, Jones, and Pamlico Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of New Bern,30137,124,2,7,41,74,1046,167,856,23
NA,Total area actually reporting,0.91,291,3,22,65,201,2797,823,1853,121
NA,Estimated total,1,310,3,23,69,215,3001,885,1984,132
NA,"Rate per 100,000 inhabitants",NA,245.9,2.4,18.2,54.7,170.5,2380.1,701.9,1573.5,104.7
"New Haven-Milford, CT M.S.A.2",NA,804612,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes New Haven County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of New Haven,130425,1219,13,66,400,740,5492,832,3925,735
NA,City of Milford,53752,34,0,0,27,7,1215,126,1001,88
NA,Total area actually reporting,1,2597,30,185,885,1497,20370,3269,14656,2445
NA,"Rate per 100,000 inhabitants",NA,322.8,3.7,23,110,186.1,2531.7,406.3,1821.5,303.9
"New Orleans-Metairie, LA M.S.A.",NA,1272995,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of New Orleans,397208,4249,174,537,1445,2093,15571,2561,10583,2427
NA,Total area actually reporting,0.997,7099,240,712,2060,4087,38082,5940,28488,3654
NA,Estimated total,1,7113,240,713,2062,4098,38206,5961,28585,3660
NA,"Rate per 100,000 inhabitants",NA,558.8,18.9,56,162,321.9,3001.3,468.3,2245.5,287.5
"New York-Newark-Jersey City, NY-NJ-PA M.S.A.",NA,20177990,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Dutchess County-Putnam County, NY; Nassau County-Suffolk County, NY; Newark, NJ-PA; and New York-Jersey City-White Plains, NY-NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of New York, NY",8566917,49124,335,2372,15544,30873,125278,12041,106868,6369
NA,"City of Newark, NJ",281450,2637,100,99,1334,1104,6308,1138,3048,2122
NA,"City of Jersey City, NJ",266179,1276,24,86,547,619,4483,953,2979,551
NA,"City of White Plains, NY",58767,121,0,10,30,81,931,53,854,24
NA,"City of New Brunswick, NJ",57158,392,1,38,211,142,1252,319,859,74
NA,"City of Lakewood Township, NJ",100269,169,2,12,61,94,949,193,718,38
NA,Total area actually reporting,0.998,71541,655,3940,24435,42511,273117,33416,221694,18007
NA,Estimated total,1,71614,656,3949,24456,42553,273749,33494,222225,18030
NA,"Rate per 100,000 inhabitants",NA,354.9,3.3,19.6,121.2,210.9,1356.7,166,1101.3,89.4
"Dutchess County-Putnam County, NY M.D.",NA,391642,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Dutchess and Putnam Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.991,601,4,120,119,358,4079,565,3414,100
NA,Estimated total,1,607,4,121,121,361,4130,571,3457,102
NA,"Rate per 100,000 inhabitants",NA,155,1,30.9,30.9,92.2,1054.5,145.8,882.7,26
"Nassau County-Suffolk County, NY M.D.",NA,2849237,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Nassau and Suffolk Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.988,3611,53,201,1294,2063,33727,3530,28346,1851
NA,Estimated total,1,3673,54,208,1312,2099,34264,3597,28797,1870
NA,"Rate per 100,000 inhabitants",NA,128.9,1.9,7.3,46,73.7,1202.6,126.2,1010.7,65.6
"Newark, NJ-PA M.D.",NA,2506862,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Essex, Hunterdon, Morris, Somerset, Sussex, and Union Counties, NJ and Pike County, PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,7110,151,423,3365,3171,35082,6232,23658,5192
NA,"Rate per 100,000 inhabitants",NA,283.6,6,16.9,134.2,126.5,1399.4,248.6,943.7,207.1
"New York-Jersey City-White Plains, NY-NJ M.D.",NA,14430249,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bergen, Hudson, Middlesex, Monmouth, Ocean, and Passaic Counties, NJ and Bronx, Kings, New York, Orange, Queens, Richmond, Rockland, and Westchester Counties, NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.999,60219,447,3196,19657,36919,200229,23089,166276,10864
NA,Estimated total,1,60224,447,3197,19658,36922,200273,23094,166313,10866
NA,"Rate per 100,000 inhabitants",NA,417.3,3.1,22.2,136.2,255.9,1387.9,160,1152.5,75.3
"Niles-Benton Harbor, MI M.S.A.",NA,154139,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Berrien County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Niles,11282,64,0,20,12,32,287,65,191,31
NA,City of Benton Harbor,9963,179,1,15,41,122,438,137,258,43
NA,Total area actually reporting,1,696,10,151,102,433,3605,772,2641,192
NA,"Rate per 100,000 inhabitants",NA,451.5,6.5,98,66.2,280.9,2338.8,500.8,1713.4,124.6
"North Port-Sarasota-Bradenton, FL M.S.A.",NA,784372,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Manatee and Sarasota Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of North Port,63386,89,1,21,11,56,861,166,668,27
NA,City of Sarasota,55732,291,3,19,85,184,2199,314,1763,122
NA,City of Bradenton,55518,328,4,31,72,221,1713,325,1323,65
NA,City of Venice,22514,24,0,5,5,14,374,65,293,16
NA,Total area actually reporting,1,2678,32,241,428,1977,15870,2822,12238,810
NA,"Rate per 100,000 inhabitants",NA,341.4,4.1,30.7,54.6,252,2023.3,359.8,1560.2,103.3
"Norwich-New London, CT M.S.A.",NA,159068,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes New London County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Norwich,39771,121,1,15,21,84,621,152,419,50
NA,City of New London,27092,193,1,11,30,151,743,130,532,81
NA,Total area actually reporting,1,465,3,52,70,340,3278,513,2557,208
NA,"Rate per 100,000 inhabitants",NA,292.3,1.9,32.7,44,213.7,2060.8,322.5,1607.5,130.8
"Ocala, FL M.S.A.",NA,346358,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Marion County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Ocala,58596,463,10,29,111,313,3174,443,2600,131
NA,Total area actually reporting,1,1174,18,90,213,853,7923,1926,5384,613
NA,"Rate per 100,000 inhabitants",NA,339,5.2,26,61.5,246.3,2287.5,556.1,1554.5,177
"Ocean City, NJ M.S.A.",NA,93755,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Cape May County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Ocean City,11287,14,0,1,5,8,364,58,306,0
NA,Total area actually reporting,1,217,0,25,54,138,2830,532,2249,49
NA,"Rate per 100,000 inhabitants",NA,231.5,0,26.7,57.6,147.2,3018.5,567.4,2398.8,52.3
"Odessa, TX M.S.A.",NA,163843,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Ector County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Odessa,123209,996,4,75,136,781,4118,791,2890,437
NA,Total area actually reporting,1,1169,7,98,170,894,6137,1157,4300,680
NA,"Rate per 100,000 inhabitants",NA,713.5,4.3,59.8,103.8,545.6,3745.7,706.2,2624.5,415
"Ogden-Clearfield, UT M.S.A.2",NA,653748,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Box Elder, Davis, Morgan, and Weber Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Ogden,85930,450,3,65,108,274,3808,614,2843,351
NA,City of Clearfield,30783,29,0,13,3,13,664,120,501,43
NA,Total area actually reporting,0.981,996,9,267,173,547,14205,2418,10807,980
NA,Estimated total,1,1017,9,271,178,559,14508,2467,11023,1018
NA,"Rate per 100,000 inhabitants",NA,155.6,1.4,41.5,27.2,85.5,2219.2,377.4,1686.1,155.7
"Oklahoma City, OK M.S.A.",NA,1372721,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Oklahoma City,641681,5027,70,445,1144,3368,25032,5545,16582,2905
NA,Total area actually reporting,1,6737,92,752,1433,4460,42683,9427,28735,4521
NA,"Rate per 100,000 inhabitants",NA,490.8,6.7,54.8,104.4,324.9,3109.4,686.7,2093.3,329.3
"Olympia-Tumwater, WA M.S.A.",NA,274020,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Thurston County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Olympia,50972,200,0,21,47,132,2491,378,1889,224
NA,City of Tumwater,19569,78,0,12,7,59,843,169,585,89
NA,Total area actually reporting,1,668,6,74,108,480,8060,1606,5721,733
NA,"Rate per 100,000 inhabitants",NA,243.8,2.2,27,39.4,175.2,2941.4,586.1,2087.8,267.5
"Omaha-Council Bluffs, NE-IA M.S.A.",NA,923710,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Omaha, NE",446163,2531,29,245,610,1647,16807,2111,11571,3125
NA,"City of Council Bluffs, IA",62642,150,4,27,55,64,3862,387,3043,432
NA,Total area actually reporting,0.999,3242,36,388,722,2096,25394,3334,17981,4079
NA,Estimated total,1,3244,36,389,722,2097,25415,3336,17998,4081
NA,"Rate per 100,000 inhabitants",NA,351.2,3.9,42.1,78.2,227,2751.4,361.2,1948.4,441.8
"Orlando-Kissimmee-Sanford, FL M.S.A.6",NA,2445214,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Lake, Orange, Osceola, and Seminole Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Orlando6,277719,2328,84,211,504,1529,14498,3637,9621,1240
NA,City of Kissimmee,71197,508,0,47,114,347,2670,585,1955,130
NA,City of Sanford,59027,542,6,48,138,350,2812,466,2165,181
NA,Total area actually reporting,0.994,12275,196,1222,2412,8445,72038,16639,50171,5228
NA,Estimated total,1,12331,197,1226,2428,8480,72464,16703,50500,5261
NA,"Rate per 100,000 inhabitants",NA,504.3,8.1,50.1,99.3,346.8,2963.5,683.1,2065.3,215.2
"Oshkosh-Neenah, WI M.S.A.",NA,169773,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Winnebago County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Oshkosh,66654,141,0,7,28,106,1471,194,1209,68
NA,City of Neenah,25850,52,0,9,10,33,491,50,420,21
